Name,Site,Year,Timeline,ID,Treatment,Unique,PrePeak
O'Neil Creek,S16,2016,213,1,Wet,S16_213_2016_Wet,peak
O'Neil Creek,S16,2010,185,2,Wet,S16_185_2010_Wet,pre
Deer Creek,S36,2015,374,3,Wet,S36_374_2015_Wet,peak
Rock Creek,S15,2010,149,4,Wet,S15_149_2010_Wet,pre
Deer Creek,S36,2011,343,5,Wet,S36_343_2011_Wet,pre
Sweetwater,S02,2010,3,6,Wet,S02_3_2010_Wet,pre
O'Neil Creek,S16,2016,219,7,Wet,S16_219_2016_Wet,peak
O'Neil Creek,S16,2016,212,8,Wet,S16_212_2016_Wet,peak
Mill Creek,S11,2016,146B,9,Wet,S11_146B_2016_Wet,peak
Deer Creek,S36,2011,344,10,Wet,S36_344_2011_Wet,pre
Deer Creek,S36,2015,375,11,Wet,S36_375_2015_Wet,peak
Rock Creek,S15,2010,148,12,Wet,S15_148_2010_Wet,pre
O'Neil Creek,S16,2010,190,13,Wet,S16_190_2010_Wet,pre
Sweetwater,S02,2014,28,14,Wet,S02_28_2014_Wet,peak
Deer Creek,S36,2011,345,15,Wet,S36_345_2011_Wet,pre
Sweetwater,S02,2010,1,16,Wet,S02_1_2010_Wet,pre
West Fork,S07,2014,54,17,Wet,S07_54_2014_Wet,peak
Mill Creek,S11,2010,124,18,Wet,S11_124_2010_Wet,pre
O'Neil Creek,S16,2010,186,19,Wet,S16_186_2010_Wet,pre
Rock Creek,S15,2015,172,20,Wet,S15_172_2015_Wet,peak
Mill Creek,S11,2016,146A,21,Wet,S11_146A_2016_Wet,peak
Rock Creek,S15,2010,152,22,Wet,S15_152_2010_Wet,pre
O'Neil Creek,S16,2016,218,23,Wet,S16_218_2016_Wet,peak
West Fork,S07,2014,57,24,Wet,S07_57_2014_Wet,peak
West Fork,S07,2014,51,25,Wet,S07_51_2014_Wet,peak
Mill Creek,S11,2010,123,26,Wet,S11_123_2010_Wet,pre
Sweetwater,S02,2014,35,27,Wet,S02_35_2014_Wet,peak
Deer Creek,S36,2011,346,28,Wet,S36_346_2011_Wet,pre
O'Neil Creek,S16,2016,216,29,Wet,S16_216_2016_Wet,peak
Deer Creek,S36,2015,373,30,Wet,S36_373_2015_Wet,peak
O'Neil Creek,S16,2010,187,31,Wet,S16_187_2010_Wet,pre
Rock Creek,S15,2015,167,32,Wet,S15_167_2015_Wet,peak
West Fork,S07,2010,41,33,Wet,S07_41_2010_Wet,pre
Rock Creek,S15,2010,155,34,Wet,S15_155_2010_Wet,pre
Rock Creek,S15,2015,170,35,Wet,S15_170_2015_Wet,peak
West Fork,S07,2010,40,36,Wet,S07_40_2010_Wet,pre
