Rep,Plant_Number,Growth_time,Placement,Stom_number_1,Stom_number_2,Stom_number_3,Trich_number_1,Trich_number_2,Trich_number_3,Stomata,Trichome
1,1,af,ab,68,68,75,8,11,10,70.33333333,9.666666667
1,1,af,be,182,201,202,23,20,24,195,22.33333333
1,1,be,ab,62,59,65,8,5,5,62,6
1,1,be,be,121,118,128,12,9,11,122.3333333,10.66666667
1,3,af,ab,93,,,14,,,93,14
1,3,af,be,180,,,21,,,180,21
1,6,af,ab,67,57,69,9,9,11,64.33333333,9.666666667
1,6,af,be,111,114,103,11,10,15,109.3333333,12
1,6,be,ab,36,42,33,4,3,2,37,3
1,6,be,be,59,71,69,5,5,6,66.33333333,5.333333333
1,8,af,ab,34,32,48,7,9,8,38,8
1,8,af,be,82,94,84,12,13,10,86.66666667,11.66666667
1,8,be,ab,41,43,45,6,8,5,43,6.333333333
1,8,be,be,70,80,79,10,10,10,76.33333333,10
1,10,af,ab,76,79,89,13,10,12,81.33333333,11.66666667
1,10,af,be,194,175,192,21,18,14,187,17.66666667
1,10,be,ab,79,69,82,8,7,8,76.66666667,7.666666667
1,10,be,be,105,95,104,11,11,9,101.3333333,10.33333333
1,16,af,ab,42,49,55,10,9,11,48.66666667,10
1,16,af,be,65,87,83,8,11,11,78.33333333,10
1,17,af,ab,64,79,69,13,13,15,70.66666667,13.66666667
1,17,af,be,114,132,139,22,23,21,128.3333333,22
1,22,af,ab,47,53,41,8,10,12,47,10
1,22,af,be,122,134,134,15,13,14,130,14
1,30,af,ab,65,77,53,9,9,7,65,8.333333333
1,30,af,be,109,109,130,8,11,13,116,10.66666667
1,32,af,ab,69,80,83,12,7,9,77.33333333,9.333333333
1,32,af,be,90,87,121,10,13,22,99.33333333,15
1,41,af,ab,72,62,68,6,9,6,67.33333333,7
1,41,af,be,80,77,87,8,9,7,81.33333333,8
1,42,af,ab,84,100,97,13,14,13,93.66666667,13.33333333
1,42,af,be,124,112,114,14,19,14,116.6666667,15.66666667
1,46,af,ab,37,49,36,10,9,8,40.66666667,9
1,46,af,be,70,85,84,8,7,10,79.66666667,8.333333333
1,49,af,ab,63,55,59,6,4,4,59,4.666666667
1,49,af,be,86,80,74,17,12,11,80,13.33333333
1,51,af,ab,95,,,13,,,95,13
1,51,af,be,99,,,20,,,99,20
1,51,af,ab,79,,,12,,,79,12
1,51,af,be,166,,,17,,,166,17
1,53,af,ab,38,35,28,6,5,6,33.66666667,5.666666667
1,53,af,be,57,69,70,8,8,6,65.33333333,7.333333333
1,54,af,ab,50,46,39,8,8,8,45,8
1,54,af,be,77,88,100,14,15,16,88.33333333,15
1,56,af,ab,60,61,72,10,12,11,64.33333333,11
1,56,af,be,150,126,110,21,15,19,128.6666667,18.33333333
1,57,af,ab,72,,,8,,,72,8
1,57,af,be,143,,,16,,,143,16
1,59,af,ab,43,50,40,7,7,5,44.33333333,6.333333333
