Rep,Treatment,Plant_ID,Placement,Stomata,Trichome
2,W,1,ab,100,12
2,W,1,be,100,10
2,W,3,be,121,18
2,W,4,ab,79,11
2,W,4,be,106,15
2,W,5,ab,73,6
2,W,6,be,119,20
2,W,7,be,109,13
2,W,8,ab,75,12
2,W,8,be,155,21
2,W,28,ab,72,7
2,W,29,ab,133,13
2,W,30,ab,92,14
2,W,30,be,113,11
2,W,32,be,102,20
2,W,35,ab,54,12
2,W,35,be,93,14
2,W,37,be,135,18
2,W,38a,be,133,16
2,W,39a,ab,70,8
2,W,39a,be,120,14
2,W,39b,ab,90,19
2,W,39b,be,147,21
2,W,40,ab,120,15
2,W,40,be,158,27
2,W,41,ab,80,15
2,W,41,be,127,13
2,W,49,be,88,13
2,W,54,be,120,22
2,W,55,ab,90,13
2,W,32,ab,79,20
2,W,3,ab,44,13
2,W,6,ab,64,12
2,W,7,ab,45,6
2,W,28,be,117,6
2,W,29,be,84,10
2,W,38a,ab,61,14
2,W,49,ab,64,10
2,W,54,ab,81,12
2,W,55,be,179,27
2,W,57,ab,130,21
2,W,57,be,107,16
2,W,119,ab,121,15
2,W,119,be,157,21
2,W,120,ab,163,7
2,W,120,be,84,11
2,W,121,ab,74,10
2,W,121,be,100,16
2,W,122,ab,95,17
2,W,122,be,NA,27
2,W,124,be,125,19
2,W,125,ab,60,10
2,W,125,be,86,17
2,W,144,ab,132,15
2,W,124,ab,103,9
2,W,145,ab,115,16
2,W,146a,ab,53,9
2,W,146a,be,92,14
2,W,147a,be,94,24
2,W,148,be,113,14
2,W,149,be,112,14
2,W,149,ab,62,7
2,W,152,ab,62,9
2,W,152,be,116,10
2,W,153,ab,84,15
2,W,153,be,129,23
2,W,154,ab,49,7
2,W,154,be,66,9
2,W,155,ab,104,18
2,W,155,be,135,21
2,W,164,ab,81,8
2,W,164,be,142,13
2,W,167,ab,88,9
2,W,167,be,138,18
2,W,169,ab,71,14
2,W,169,be,103,9
2,W,170,ab,67,8
2,W,170,be,106,8
2,W,172,ab,90,9
2,W,172,be,114,15
2,W,183,ab,72,12
2,W,183,be,178,15
2,D,3,ab,50,9
2,D,3,be,75,12
2,D,6,ab,60,12
2,D,6,be,95,20
2,D,7,ab,54,11
2,D,7,be,88,15
2,D,8,ab,56,11
2,D,8,be,78,13
2,D,28,ab,44,13
2,D,28,be,77,21
2,D,32,ab,63,25
2,D,32,be,134,44
2,D,35,ab,73,11
2,D,35,be,106,27
2,D,36,ab,75,26
2,D,36,be,136,47
2,D,37,ab,78,19
2,D,37,be,101,47
2,D,38a,ab,62,23
2,D,38a,be,104,32
2,D,38b,ab,75,25
2,D,38b,be,136,32
2,D,39a,ab,91,19
2,D,39a,be,145,26
2,D,40,ab,98,15
2,D,40,be,129,27
2,D,41,ab,67,14
2,D,41,be,117,20
2,D,49,ab,65,13
2,D,51,ab,99,27
2,D,51,be,103,32
2,D,52,ab,78,17
2,D,52,be,88,16
2,D,54,ab,59,25
2,D,54,be,124,29
2,D,55,ab,65,13
2,D,55,be,106,17
2,D,57,ab,50,25
2,D,49,be,118,23
2,D,57,be,96,35
2,D,119,ab,65,14
2,D,119,be,75,17
2,D,120,be,116,27
2,D,121,ab,146,24
2,D,121,be,130,37
2,D,122,ab,117,21
2,W,184,ab,52,10
2,W,184,be,78,17
2,W,185,ab,87,22
2,W,185,be,163,22
2,W,186,ab,80,15
2,W,187,ab,111,18
2,W,186,be,128,18
2,W,187,be,150,25
2,W,189,ab,38,8
2,W,189,be,99,16
2,W,190,ab,97,16
2,W,190,be,163,19
2,W,211,ab,59,12
2,W,211,be,180,18
2,W,212,ab,62,7
2,W,212,be,137,17
2,W,217,ab,66,10
2,W,217,be,161,26
2,W,218,ab,100,8
2,W,218,be,119,9
2,W,219,ab,82,14
2,W,219,be,186,20
2,W,342,ab,95,12
2,W,342,be,154,12
2,W,343,ab,64,19
2,W,343,be,155,14
2,W,344,ab,72,11
2,W,344,be,130,14
2,W,345,ab,137,15
2,W,345,be,165,15
2,W,346,ab,91,9
2,W,346,be,154,29
2,W,348,ab,97,14
2,W,348,be,103,18
2,W,349,ab,109,13
2,W,349,be,141,16
2,W,368,ab,81,14
2,W,368,be,148,22
2,W,372,ab,55,9
2,W,372,be,83,11
2,W,373,ab,67,10
2,W,373,be,110,9
2,W,374,ab,46,13
2,W,374,be,113,24
2,W,375,ab,74,10
2,W,375,be,132,19
2,W,376,ab,102,11
2,W,376,be,136,8
2,D,123,ab,81,24
2,D,123,be,122,31
2,D,124,ab,64,13
2,D,124,be,102,19
2,D,125,ab,91,16
2,D,125,be,98,29
2,D,144,ab,94,20
2,D,144,be,136,28
2,D,145b,ab,96,14
2,D,145b,be,108,24
2,D,146a,ab,80,15
2,D,146a,be,111,21
2,D,146b,ab,72,19
2,D,146b,be,74,17
2,D,147a,ab,78,25
2,D,147a,be,93,25
2,D,147b,ab,118,33
2,D,147b,be,152,44
2,D,148,ab,96,12
2,D,148,be,104,9
2,D,149,ab,73,7
2,D,149,be,112,12
2,D,152,ab,68,17
2,D,152,be,114,11
2,D,153,ab,66,7
2,D,153,be,118,12
2,D,154,ab,65,18
2,D,154,be,153,30
2,D,155,ab,71,18
2,D,155,be,141,19
2,D,164,ab,51,13
2,D,164,be,105,17
2,D,166,ab,54,20
2,D,166,be,133,10
2,D,169,ab,53,7
2,D,169,be,126,12
2,D,170,ab,75,13
2,D,170,be,137,24
2,D,172,ab,75,9
2,D,172,be,96,13
2,D,183,ab,59,16
2,D,183,be,93,18
2,D,184,ab,54,16
2,D,184,be,92,16
2,D,185,ab,94,15
2,D,185,be,114,21
2,D,186,ab,41,16
2,D,186,be,57,15
2,D,189,ab,55,15
2,D,189,be,97,25
2,D,190,ab,53,27
2,D,190,be,71,27
2,D,211,ab,70,29
2,D,211,be,107,33
2,D,213,ab,73,6
2,D,213,be,93,7
2,D,217,ab,84,14
2,D,217,be,91,11
2,D,218,ab,38,8
2,D,218,be,100,11
2,D,219,be,114,16
2,D,342,ab,65,17
2,D,342,be,116,19
2,D,343,ab,82,11
2,D,343,be,131,16
2,D,344,ab,79,14
2,D,344,be,156,22
2,D,345,ab,77,15
2,D,345,be,130,23
2,D,346,ab,73,5
2,D,346,be,130,11
2,D,348,ab,60,4
2,D,348,be,84,4
2,D,349,ab,46,12
2,D,349,be,116,11
2,D,368,ab,54,16
2,D,368,be,155,21
2,D,371,ab,63,14
2,D,371,be,92,17
2,D,373,ab,81,16
2,D,373,be,114,17
2,D,374,ab,91,13
2,D,374,be,208,15
2,D,375,ab,81,16
2,D,375,be,121,17
2,D,376,ab,60,20
2,D,376,be,115,22
