ID,Treatment,Growth_time,Placement,Stom_number_1,Stom_number_2,Stom_number_3,Stomata,Trich_number_1,Trich_number_2,Trich_number_3,Trichome,Guard_Cell_Length_1,Guard_Cell_Length_2,Guard_Cell_Length_3,Guard_Cell_Length_4,Guard_Cell_Length_5,Guard_Cell_Length_6,Guard_Cell_Length_7,Guard_Cell_Length_8,Guard_Cell_Length_9,Guard_Cell_Length_10,Guard_Cell_Length_11,Guard_Cell_Length_12,Guard_Cell_Length_13,Guard_Cell_Length_14,Guard_Cell_Length_15,Avg_Guard_Cell_Length,Notes
3,w,af,ab,67,60,75,67.3,12,10,14,12,107.042,94.154,106.068,118.706,91.285,112.028,84.1,89.175,120.145,91.062,89.538,87.295,85.747,80.722,97.9,96.9978,
3,w,af,be,102,123,107,110.7,14,13,17,14.7,75.977,89.166,93.231,97.397,90.747,72.81,83.63,99.825,93.557,103.323,81.786,82.095,75.572,88.119,92.067,87.95346667,
4,w,af,ab,70,62,71,67.7,14,12,12,12.7,71.752,79.71,78.6,89.147,97.129,88.459,90.733,83.298,89.157,87.41,82.193,67.125,83.193,81.099,75.313,82.95453333,
4,w,af,be,88,86,99,91,22,23,20,21.7,86.571,84.454,72.197,88.238,79.239,82.815,94.583,88.726,99.056,97.719,68.394,78,86.123,77.929,91.351,85.02633333,
8,w,af,ab,57,,,57,13,,,13,80.007,94.048,93.134,104.173,87.455,97.745,100.185,91.195,88.295,88.074,94.479,105.149,87.459,92.507,81.514,92.36126667,Highlighted have no photos
8,w,af,be,104,,,104,12,,,12,79.613,76.059,72.763,78.746,76.276,94.152,87.367,86.268,92.577,69.565,92.849,94.048,95.724,76.415,78.027,83.36326667,Highlighted have no photos
28,w,af,ab,68,63,58,63,12,13,8,11,82.022,90.233,71.892,78.08,78.502,78.907,91.959,78.294,74.132,71.113,84.202,83.487,80.623,78.054,77.253,79.91686667,
28,w,af,be,96,92,102,96.7,14,16,20,16.7,76.217,69.973,84.345,76.276,81.346,73.129,81.459,63.389,80.027,67.833,78.811,84.425,70.456,68.406,81.928,75.868,
29,w,af,ab,49,49,34,44,13,12,9,11.3,85.471,73.51,62.049,80.32,93.343,65.299,76.449,82.294,85.357,60.539,83.863,85.586,73.639,88.102,82.152,78.53153333,
29,w,af,be,108,107,103,106,17,17,16,16.7,77.078,86.452,80.523,81.906,77.559,70.933,101.237,70.831,79.712,80.281,78.638,88.544,81.707,69.426,80.777,80.3736,
35,w,af,ab,,,,,,,,,,,,,,,,,,,,,,,,,Cannot be counted - no visible trichomes or stomata
35,w,af,be,53,,,53,11,,,11,80.652,93.343,75.802,96.821,90.823,89.052,72.945,88.566,101.274,94.34,73.949,94.921,67.65,45.255,80.838,83.08206667,Highlighted have no photos
38A,w,af,ab,57,54,59,56.7,13,11,8,10.7,81.75,96.255,91.924,84.077,85.21,83.722,89.308,88.408,91.905,96.542,82.462,72.708,89.14,99.182,82.765,87.69053333,
38A,w,af,be,91,90,97,92.7,18,15,19,17.3,80.05,83.241,92.292,82.377,84.119,97.046,85.44,97.329,77.437,85.943,86.675,90.736,83.853,85.98,83.68,86.4132,
38B,w,af,ab,73,84,84,80.3,13,10,12,11.7,86.089,103.74,97.613,113.565,85.493,85.357,85.98,82.579,80.61,87.658,94.26,86.675,85.703,85.024,89.554,89.99333333,
38B,w,af,be,110,110,115,111.7,13,13,14,13.3,96.862,85.424,76.655,91.662,82.152,100.728,80.388,86.687,94.427,90.083,80.722,86.313,74.733,89.513,86.014,86.8242,
39B,w,af,ab,78,90,,84,9,13,,11,88.238,84.172,87.945,90.758,92.052,76.266,81.025,93.005,92.382,89.613,91.81,76.942,82.735,80.777,90.512,86.5488,Highlighted have no photos
39B,w,af,be,136,147,,141.5,17,19,,18,85.066,79.555,78.807,80.025,83,84.315,82.84,87.758,81.886,92.164,,,,,,83.5416,Highlighted have no photos
40,w,af,ab,50,52,52,51.3,6,8,8,7.3,91.043,90.604,90.319,88.718,85.103,89.186,78.23,80.32,85.642,86.361,87.573,95.603,97.719,96.329,84.024,88.4516,
40,w,af,be,100,96,95,97,15,12,12,13,75.895,77.531,71.725,76.971,71.703,82.827,85.381,82.098,81.739,80.403,85.423,88.495,78.08,99.294,86.052,81.57446667,
41,w,af,ab,96,92,87,91.7,13,12,15,13.3,79.464,75.432,90.139,85.292,71.986,76.026,74.108,67.742,84.624,79.739,86.721,76.322,76.609,81.86,77.006,78.87133333,
41,w,af,be,144,145,125,138,19,21,22,20.7,82.769,66.35,62.893,76.026,73.849,61.587,68.238,81.908,72.078,61.59,76.236,60.093,64.07,70.257,64.498,69.49613333,
49,w,af,ab,58,61,65,61.3,11,9,9,9.7,84.646,99.02,69.351,99.791,92.034,91.087,80.365,86.729,77.635,99.29,104.139,97.082,85.527,75.176,79.322,88.0796,
49,w,af,be,86,103,107,98.7,10,12,17,13,86.822,78.645,68.516,77.854,85.821,78.361,83.642,71.137,90.918,64.377,76.634,92.136,93.15,97.183,75.425,81.37473333,
51,w,af,ab,65,83,103,83.7,10,13,13,12,87.386,82.098,82.765,90.957,80.994,93.103,84.593,75.396,82.598,90.424,70.317,80.066,78.645,78.194,79.663,82.47993333,
51,w,af,be,142,132,140,138,21,16,18,18.3,70.456,69.34,73,70.682,79.223,72.154,81.336,79.202,71.044,74,67.912,82.347,72.043,75.188,83.056,74.7322,
52,w,af,ab,52,60,66,59.3,11,9,10,10,91.111,110.338,80.165,82.356,83.667,90.802,91.236,89.564,103.452,92.867,87.686,85.553,100.262,89.54,90.919,91.3012,
52,w,af,be,114,102,92,102.7,12,15,13,13.3,84.532,91.849,84.454,91.831,81.994,87.132,94.116,89.627,94.26,84.336,92.965,98.762,87.664,88.393,99.69,90.107,
54,w,af,ab,75,72,86,77.7,14,12,12,12.7,83.863,73.268,68.326,68.542,80.047,85,83.241,73.527,73.588,79.356,91.995,78.135,87.743,77.566,77.555,78.78346667,
54,w,af,be,153,157,160,156.7,19,17,14,16.7,74.953,71.512,80.131,85.564,82.873,68.425,93.536,71.602,84.662,81.502,66.189,74.7,70.282,65.924,62.069,75.59493333,
119,w,af,ab,29,73,76,59.3,6,17,13,12,103.306,102.288,88.806,91.924,110.843,105.475,103.288,93.92,91.697,84.481,99.86,95.084,104.418,89.45,81.86,96.44666667,
120,w,af,ab,67,60,69,65.3,8,7,7,7.3,84.524,84.433,88.459,86.788,78.006,98.794,89.922,95.334,95.634,83.815,79.31,86.904,85.128,89.3,81.371,87.18146667,
120,w,af,be,88,83,67,79.3,12,12,14,12.7,78.102,101.116,88.529,86.143,91.315,98.793,97.326,101.414,86.752,89.306,77.77,91.884,91.08,89.499,84.264,90.21953333,
121,w,af,ab,67,63,66,65.3,8,11,11,10,91.351,85.094,96.607,93.193,105.019,98.184,89.994,84.413,86.49,92.309,93.941,84.149,96.938,91.012,88.527,91.81473333,
