,obs,A,Ca,Ci,gsw,Tleaf,Q,ID,Treatment,Rep,Year,Site
1,1,18.47753669,390.9089,338.5006378,0.766732187,26.10247,1200.016667,1,dry,3,2010,S02
2,2,22.84271108,389.1518333,328.7984897,0.799559047,26.04126667,1199.994667,1,dry,3,2010,S02
3,3,18.37602114,291.374871,242.7610262,0.78600032,26.05900323,1199.994194,1,dry,3,2010,S02
4,4,11.69617919,194.4833871,162.9653604,0.7747959,26.01466452,1200.010968,1,dry,3,2010,S02
5,5,3.793197072,98.07036452,86.92361029,0.766574823,26.00445484,1199.983871,1,dry,3,2010,S02
6,6,-0.698630459,50.00483548,50.39480033,0.765424569,26.01428065,1199.968387,1,dry,3,2010,S02
7,7,24.54021464,388.5973333,320.5020548,0.739874698,25.99707667,1200.008333,1,dry,3,2010,S02
8,8,25.03493933,388.3955,318.1441558,0.726964966,26.01821,1200.006667,1,dry,3,2010,S02
9,9,31.22525886,585.1555806,494.0374831,0.716858058,26.00386452,1199.983871,1,dry,3,2010,S02
10,10,33.47909866,783.4687742,680.6277885,0.705623272,25.99915161,1199.996774,1,dry,3,2010,S02
11,11,33.73279315,982.6167419,872.4199256,0.690228644,26.00228065,1200.000323,1,dry,3,2010,S02
12,12,33.97459884,1181.806452,1064.828193,0.679928094,25.99512581,1200.004516,1,dry,3,2010,S02
13,13,33.51019734,1480.895333,1356.204216,0.668138019,26.00749,1200.027333,1,dry,3,2010,S02
14,1,15.55608201,392.0424333,347.2111838,0.784606205,26.05578,1200.017333,1,wet,3,2010,S02
15,2,19.6320561,390.4096452,336.9780741,0.795419767,26.02857419,1199.995161,1,wet,3,2010,S02
16,3,16.69956204,292.0187742,247.7224362,0.798863486,26.03666129,1199.990968,1,wet,3,2010,S02
17,4,11.0224831,194.7205806,165.5366652,0.801969898,26.0122871,1199.997419,1,wet,3,2010,S02
18,5,4.074368573,97.92678387,86.40979353,0.792179189,26.00797419,1200.014516,1,wet,3,2010,S02
19,6,0.131868642,49.71231613,48.1995416,0.780310169,25.9984871,1200.008387,1,wet,3,2010,S02
20,7,22.35856845,389.4434333,327.0827614,0.748042094,25.99560667,1200.009,1,wet,3,2010,S02
21,8,22.69087223,389.3315333,324.1588451,0.718984818,26.01496,1199.983667,1,wet,3,2010,S02
22,9,27.65474968,586.6049355,502.5394793,0.698620659,26.0170871,1199.984516,1,wet,3,2010,S02
23,10,28.98570347,785.3935484,690.68416,0.675248903,26.01337097,1199.97,1,wet,3,2010,S02
24,11,28.89404708,984.7018387,882.3258249,0.650003905,26.01663226,1200.008065,1,wet,3,2010,S02
25,12,28.41156797,1184.269032,1074.979195,0.622679992,26.01793871,1200.009355,1,wet,3,2010,S02
26,13,27.33892478,1483.760333,1366.226311,0.595098543,26.00009667,1200.014667,1,wet,3,2010,S02
27,1,16.70275353,392.0240323,327.9483189,0.530987901,26.12373226,1200.00871,119,dry,3,2010,S11
28,2,20.81965684,390.4030968,312.4861652,0.525697509,26.09257419,1200.005484,119,dry,3,2010,S11
