Rep,Placement,Stomata,Trichome,Name,Site,Year,ID,Treatment,PrePeak,Region,Trich_mm,Stom_mm
1,ab,50,17,Sweetwater,S02,2010,1,Dry,pre,South,21.64502165,63.66182837
1,ab,48.66666667,10,Sweetwater,S02,2010,1,Wet,pre,South,12.73236567,61.96417962
1,ab,116,20,Sweetwater,S02,2010,3,Dry,pre,South,25.46473135,147.6954418
1,ab,64.33333333,9.666666667,Sweetwater,S02,2010,3,Wet,pre,South,12.30795348,81.9115525
1,ab,74,8,Sweetwater,S02,2010,4,Dry,pre,South,10.18589254,94.21950598
1,ab,49,5,Sweetwater,S02,2010,4,Wet,pre,South,6.366182837,62.3885918
1,ab,50,11,Sweetwater,S02,2010,5,Dry,pre,South,14.00560224,63.66182837
1,ab,59,7.333333333,Sweetwater,S02,2010,5,Wet,pre,South,9.33706816,75.12095747
1,ab,40,16.33333333,Sweetwater,S02,2010,6,Dry,pre,South,20.79619726,50.92946269
1,ab,45,8,Sweetwater,S02,2010,6,Wet,pre,South,10.18589254,57.29564553
1,ab,86,15,Sweetwater,S02,2010,7,Dry,pre,South,19.09854851,109.4983448
1,ab,65.66666667,11.66666667,Sweetwater,S02,2010,8,Dry,pre,South,14.85442662,83.60920126
1,ab,40.66666667,9,Sweetwater,S02,2010,8,Wet,pre,South,11.45912911,51.77828708
1,ab,60.33333333,15,Sweetwater,S02,2014,28,Dry,peak,South,19.09854851,76.81860623
1,ab,75,8,Sweetwater,S02,2014,28,Wet,peak,South,10.18589254,95.49274255
1,ab,70,19.33333333,Sweetwater,S02,2014,29,Dry,peak,South,24.61590696,89.12655971
1,ab,53.66666667,16.33333333,Sweetwater,S02,2014,31,Dry,peak,South,20.79619726,68.33036245
1,ab,39.66666667,6,Sweetwater,S02,2014,31,Wet,peak,South,7.639419404,50.50505051
1,ab,59,18,Sweetwater,S02,2014,34,Dry,peak,South,22.91825821,75.12095747
1,ab,50.66666667,8,Sweetwater,S02,2014,34,Wet,peak,South,10.18589254,64.51065275
1,ab,38,8.666666667,Sweetwater,S02,2014,35,Dry,peak,South,11.03471692,48.38298956
1,ab,81,7,Sweetwater,S02,2014,35,Wet,peak,South,8.912655971,103.132162
1,ab,38.33333333,4,Sweetwater,S02,2014,36,Dry,peak,South,5.092946269,48.80740174
1,ab,39,3.666666667,Sweetwater,S02,2014,36,Wet,peak,South,4.668534081,49.65622613
1,ab,51,15.33333333,Sweetwater,S02,2014,37,Dry,peak,South,19.5229607,64.93506494
1,ab,59,4.666666667,Sweetwater,S02,2014,37,Wet,peak,South,5.941770648,75.12095747
1,ab,69,10,West Fork,S07,2010,40,Dry,pre,South,12.73236567,87.85332315
1,ab,72,8,West Fork,S07,2010,40,Wet,pre,South,10.18589254,91.67303285
1,ab,99.33333333,14.33333333,West Fork,S07,2010,41,Dry,pre,South,18.24972413,126.4748324
1,ab,67,19,West Fork,S07,2014,49,Dry,peak,South,24.19149478,85.30685001
1,ab,33.66666667,5.666666667,West Fork,S07,2014,49,Wet,peak,South,7.215007215,42.86563111
1,ab,114,23,West Fork,S07,2014,51,Dry,peak,South,29.28444105,145.1489687
1,ab,77,14,West Fork,S07,2014,51,Wet,peak,South,17.82531194,98.03921569
1,ab,83.66666667,16.66666667,West Fork,S07,2014,52,Dry,peak,South,21.22060946,106.5274595
1,ab,67.33333333,7,West Fork,S07,2014,52,Wet,peak,South,8.912655971,85.7312622
1,ab,60,8.333333333,West Fork,S07,2014,54,Dry,peak,South,10.61030473,76.39419404
1,ab,70.66666667,13.66666667,West Fork,S07,2014,54,Wet,peak,South,17.40089976,89.9753841
