Treatment,Rep,Timeline,Fs,Fm',PhiPS2,ETR,PhiCO2,NPQ,A,Year,PrePeak,Site,Fv.Fm.,Region
dry,2,30,283.4,443,0.36,181.8,0.03,,32.3,2014,Peak,S02,0.36027088,South
dry,3,36,283.8,441.6,0.36,180.28,0.03,,33.74,2014,Peak,S02,0.357336957,South
dry,3,7,273.2,415.1,0.34,172.5,0.03,,28.32,2010,Pre,S02,0.341845338,South
dry,3,3,252.2,381.8,0.34,171.25,0.03,,29.17,2010,Pre,S02,0.339444735,South
dry,3,1,279.5,417.5,0.33,166.8,0.03,,32.71,2010,Pre,S02,0.330538922,South
dry,3,29,257.2,372,0.31,155.74,0.03,,26.67,2014,Peak,S02,0.308602151,South
dry,3,35,241.5,345.9,0.3,152.24,0.03,,24.96,2014,Peak,S02,0.301821336,South
dry,2,1,269.5,376.2,0.28,143.14,0.02,,23.95,2010,Pre,S02,0.283625731,South
dry,1,4,259.449,354.45,0.268,135.2,0.0359,0.488,35.8,2010,Pre,S02,0.268023699,South
dry,2,8,328.6,447,0.26,133.63,0.03,4.57,26.63,2010,Pre,S02,0.264876957,South
dry,3,31,267.7,363.8,0.26,133.24,0.03,,26.21,2014,Peak,S02,0.26415613,South
dry,1,5,234.85,318.121,0.2618,132.1,0.0204,2.163,20.5,2010,Pre,S02,0.26175889,South
dry,3,6,255.7,345.4,0.25,126.71,0.03,,25.58,2010,Pre,S02,0.2596989,South
dry,3,8,288.4,388.1,0.26,129.56,0.03,,26.22,2010,Pre,S02,0.256892553,South
dry,2,32,300,403.1,0.26,129.05,0.03,5.18,24.84,2014,Peak,S02,0.2557678,South
dry,2,36,310.3,416.3,0.25,128.47,0.03,1.89,26.02,2014,Peak,S02,0.254624069,South
dry,3,28,288.7,387.2,0.25,128.35,0.03,,28.17,2014,Peak,S02,0.254390496,South
dry,3,35,274.8,365.5,0.25,125.15,0.02,,20.7,2014,Peak,S02,0.248153215,South
dry,1,36,223.464,296.552,0.2465,124.3,0.0309,-1,29.8,2014,Peak,S02,0.246459306,South
dry,1,8,258.88,343.207,0.2457,124,0.0325,-1,31.9,2010,Pre,S02,0.245703031,South
dry,1,31,250.694,331.477,0.2437,123,0.0361,0.591,36.1,2014,Peak,S02,0.2437062,South
dry,1,34,236.393,311.272,0.2406,121.4,0.0151,2.555,15.5,2014,Peak,S02,0.240558097,South
dry,1,7,219.748,289.269,0.2403,121.3,0.0176,2.502,17.9,2010,Pre,S02,0.240333392,South
dry,3,37,259.2,340.6,0.24,120.56,0.02,,18.17,2014,Peak,S02,0.238990018,South
dry,1,29,223.336,289.377,0.2282,115.2,0.0242,-1,22.9,2014,Peak,S02,0.228217861,South
dry,1,6,241.943,309.358,0.2179,110,0.0166,2.296,16,2010,Pre,S02,0.217919045,South
dry,2,3,295.4,376.2,0.21,108.31,0.02,2.2,24.18,2010,Pre,S02,0.214779373,South
dry,2,35,306.5,389.6,0.21,107.65,0.02,5.39,22.04,2014,Peak,S02,0.213295688,South
dry,2,28,271.6,344.8,0.21,107.2,0.02,6.22,23.34,2014,Peak,S02,0.212296984,South
dry,1,1,268.951,339.734,0.2083,105.1,0.0333,0.552,32.8,2010,Pre,S02,0.208348296,South
dry,2,6,339.5,425.4,0.2,101.93,0.02,4.85,21.45,2010,Pre,S02,0.201927598,South
dry,3,4,290.5,364,0.2,101.89,0.02,,19.29,2010,Pre,S02,0.201923077,South
dry,2,29,289.7,361.9,0.2,1005.9,0.02,2.33,22.14,2014,Peak,S02,0.199502625,South
dry,2,7,336.7,419.6,0.2,99.6,0.03,2.02,25.62,2010,Pre,S02,0.197569113,South
dry,1,35,247.162,306.911,0.1947,98.2,0.0276,-1,26.8,2014,Peak,S02,0.194678588,South
dry,1,3,208.434,258.477,0.1936,97.7,0.0315,1.04,31,2010,Pre,S02,0.193607168,South
dry,2,37,258.8,319,0.19,95.15,0.02,6.81,20.23,2014,Peak,S02,0.188714734,South
dry,1,37,249.66,302.552,0.1748,88.2,0.0264,-1,25.4,2014,Peak,S02,0.174819535,South
dry,1,28,234.017,276.634,0.1541,77.7,0.0229,0.906,23.2,2014,Peak,S02,0.154055539,South
wet,1,28,240.18,304.491,0.2138,107.1,0.0309,0.726,30.9,2014,Peak,S02,0.211208213,South
wet,1,29,515.142,841.959,0.3882,196,0.8184,-1,1.17,2014,Peak,S02,0.388162606,South
wet,3,1,268.9,374.5,0.28,142.32,0.03,,26.68,2010,Pre,S02,0.281975968,South
wet,3,31,274.9,380.9,0.28,140.39,0.02,,23.72,2014,Peak,S02,0.278288265,South
wet,2,8,240.2,332.3,0.28,139.93,0.03,6.49,26.79,2010,Pre,S02,0.277159193,South
wet,3,7,282.9,391.2,0.28,139.64,0.03,,24.89,2010,Pre,S02,0.276840491,South
wet,3,4,322.2,439.8,0.27,134.9,0.03,,27.14,2010,Pre,S02,0.26739427,South
wet,2,1,258.2,350.3,0.26,132.64,0.02,6.11,23.57,2010,Pre,S02,0.262917499,South
wet,1,4,270.911,366.889,0.2616,132,0.0269,-1,26.3,2010,Pre,S02,0.261599557,South
wet,2,30,232,313.2,0.26,130.88,0.02,3.12,12.37,2014,Peak,S02,0.259259259,South
wet,2,36,272.5,366.7,0.26,129.62,0.03,2.6,28.58,2014,Peak,S02,0.256885738,South
wet,3,3,263.2,353.2,0.25,128.5,0.02,,25.03,2010,Pre,S02,0.254813137,South
