"","...1","X","obs","A","Ca","Ci","gsw","Tleaf","Q","ID","Treatment","Rep","Year","Site","PrePeak","Region"
"1",1,874,1,19.62289519,391.2832258,305.4966241,0.422564148,26.85980968,1200.006129,"1","wet",1,2010,"S02","Pre","South"
"2",2,1472,1,20.81753238,390.715871,317.1168126,0.535983442,26.09427419,1200,"3","wet",1,2010,"S02","Pre","South"
"3",3,549,1,20.18120072,391.0827419,313.076645,0.483947312,26.10699677,1199.990968,"3","dry",1,2010,"S02","Pre","South"
"4",4,1615,1,17.15716276,391.9532581,343.5995856,0.723316974,26.2609129,1200.015161,"4","wet",1,2010,"S02","Pre","South"
"5",5,235,1,17.18223717,392.872,123.2097985,0.105641004,26.03545484,1200.008065,"4","dry",1,2010,"S02","Pre","South"
"6",6,1667,1,9.521549067,395.2855484,345.5107221,0.389397708,26.1617,1200.002903,"5","wet",1,2010,"S02","Pre","South"
"7",7,887,1,6.864192756,396.9240645,302.6508131,0.130287877,26.10963548,1199.988387,"5","dry",1,2010,"S02","Pre","South"
"8",8,1394,1,13.53450273,394.4213548,95.78413497,0.074611849,25.9698,1199.995806,"6","wet",1,2010,"S02","Pre","South"
"9",9,419,1,4.523939068,398.0087097,283.9714478,0.068935991,26.00051935,1199.985484,"6","dry",1,2010,"S02","Pre","South"
"10",10,1277,1,17.10028962,392.4823871,300.1467181,0.336571813,26.39892581,1199.984839,"7","wet",1,2010,"S02","Pre","South"
"11",11,666,1,8.145285039,396.2692581,320.4143534,0.198421157,26.1009,1199.992258,"7","dry",1,2010,"S02","Pre","South"
"12",12,1290,1,15.79109116,392.7596452,317.0317748,0.387826539,26.16913548,1199.995161,"8","wet",1,2010,"S02","Pre","South"
"13",13,653,1,14.59530086,393.7900968,252.6956907,0.178198826,26.02283871,1199.995161,"8","dry",1,2010,"S02","Pre","South"
"14",14,1160,1,6.876010074,396.3351613,359.1149585,0.407474617,26.43430323,1200.01871,"40","wet",1,2010,"S07","Pre","South"
"15",15,1875,1,12.63348937,394.0334516,336.21564,0.431091462,26.13311935,1200.019032,"40","dry",1,2010,"S07","Pre","South"
